TZoneID	Abbreviation	Name	Offset	OffsetHours	OffsetMinutes
185	KST	Korea Standard Time	UTC+09	9	0
186	TLT	Timor Leste Time	UTC+09	9	0
187	YAKT	Yakutsk Time	UTC+09	9	0
188	ACST	Australian Central Standard Time	UTC+09:30	9	30
189	SST	Singapore Standard Time	UTC+08	8	0
190	SST	Samoa Standard Time	UTC-11	-11	0
191	ACT	ASEAN Common Time	UTC+08	8	0
192	THA	Thailand Standard Time	UTC+07	7	0
193	TJT	Tajikistan Time	UTC+05	5	0
194	TMT	Turkmenistan Time	UTC+05	5	0
195	UZT	Uzbekistan Time	UTC+05	5	0
196	YEKT	Yekaterinburg Time	UTC+05	5	0
197	IST	Indian Standard Time	UTC+05:30	5	30
198	SLST	Sri Lanka Standard Time	UTC+05:30	5	30
199	NPT	Nepal Time	UTC+05:45	5	45
200	BDT	Bangladesh Daylight Time (Bangladesh Daylight saving time keeps UTC+06 offset) [3]	UTC+06	6	0
201	BIOT	British Indian Ocean Time	UTC+06	6	0
202	BST	Bangladesh Standard Time	UTC+06	6	0
203	WIT	Western Indonesian Time	UTC+07	7	0
204	BTT	Bhutan Time	UTC+06	6	0
205	OMST	Omsk Time	UTC+06	6	0
206	VOST	Vostok Station Time	UTC+06	6	0
207	CCT	Cocos Islands Time	UTC+06:30	6	30
208	MMT	Myanmar Time	UTC+06:30	6	30
209	MST	Myanmar Standard Time	UTC+06:30	6	30
210	CXT	Christmas Island Time	UTC+07	7	0
211	DAVT	Davis Time	UTC+07	7	0
212	HOVT	Khovd Time	UTC+07	7	0
213	ICT	Indochina Time	UTC+07	7	0
214	KRAT	Krasnoyarsk Time	UTC+07	7	0
215	KGT	Kyrgyzstan time	UTC+06	6	0
216	BIT	Baker Island Time	UTC-12	-12	0
